id,sample,q4,q5,q6,q7,q8_1,q8_2_1,q8_2_2,q8_2_3,q8_2_4,q8_2_5,q8_2_6,q8_2_7,q9
1,with_degree,1,1,25,2,NA,1,0,0,0,0,0,0,6
2,with_degree,2,1,35,1,3,NA,NA,NA,NA,NA,NA,NA,5
3,with_degree,2,2,32,1,1,NA,NA,NA,NA,NA,NA,NA,6
4,with_degree,2,1,24,1,1,NA,NA,NA,NA,NA,NA,NA,7
5,with_degree,1,1,30,1,1,NA,NA,NA,NA,NA,NA,NA,3
6,with_degree,2,2,26,1,2,NA,NA,NA,NA,NA,NA,NA,6
7,with_degree,2,1,28,1,1,NA,NA,NA,NA,NA,NA,NA,5
8,with_degree,1,2,24,1,1,NA,NA,NA,NA,NA,NA,NA,8
9,with_degree,2,1,29,1,1,NA,NA,NA,NA,NA,NA,NA,7
10,with_degree,2,1,27,1,1,NA,NA,NA,NA,NA,NA,NA,7
11,with_degree,2,1,47,1,1,NA,NA,NA,NA,NA,NA,NA,4
12,with_degree,2,3,33,2,NA,1,0,0,0,0,0,0,6
13,with_degree,2,1,28,1,1,NA,NA,NA,NA,NA,NA,NA,8
14,with_degree,3,1,26,1,1,NA,NA,NA,NA,NA,NA,NA,6
15,with_degree,1,2,25,2,NA,1,0,0,0,0,0,0,5
16,with_degree,1,1,36,1,1,NA,NA,NA,NA,NA,NA,NA,8
17,with_degree,2,1,54,2,NA,1,0,0,0,0,0,0,6
18,with_degree,1,1,48,1,1,NA,NA,NA,NA,NA,NA,NA,5
19,with_degree,2,1,37,1,1,NA,NA,NA,NA,NA,NA,NA,7
20,with_degree,2,2,38,1,1,NA,NA,NA,NA,NA,NA,NA,7
21,with_degree,3,2,22,2,NA,1,1,0,0,0,0,0,7
22,with_degree,3,2,65,2,NA,1,0,0,0,0,0,0,7
23,with_degree,2,1,50,1,4,NA,NA,NA,NA,NA,NA,NA,3
24,with_degree,2,2,29,2,NA,1,0,0,0,0,0,0,4
25,with_degree,3,2,23,2,NA,1,0,0,0,0,0,0,7
26,with_degree,1,1,44,2,NA,1,0,0,0,0,0,0,7
27,with_degree,3,2,26,2,NA,1,0,0,0,0,0,0,6
28,with_degree,2,1,24,2,NA,1,0,0,0,0,0,0,6
29,with_degree,2,1,30,2,NA,1,0,0,0,0,0,0,6
30,with_degree,2,1,52,1,1,NA,NA,NA,NA,NA,NA,NA,6
31,with_degree,2,1,29,1,1,NA,NA,NA,NA,NA,NA,NA,5
32,with_degree,3,1,28,1,1,NA,NA,NA,NA,NA,NA,NA,7
33,with_degree,2,1,50,1,1,NA,NA,NA,NA,NA,NA,NA,7
34,without_degree,2,2,32,1,1,NA,NA,NA,NA,NA,NA,NA,3
35,student,2,3,21,1,1,NA,NA,NA,NA,NA,NA,NA,7
36,without_degree,3,2,55,2,NA,1,0,0,0,0,0,0,4
37,without_degree,2,1,32,2,NA,0,0,1,0,0,0,0,1
38,without_degree,2,1,18,1,1,NA,NA,NA,NA,NA,NA,NA,7
39,without_degree,2,1,43,2,NA,1,0,0,0,0,0,0,3
40,student,3,2,20,2,NA,1,0,0,0,0,0,0,8
41,without_degree,3,1,40,1,1,NA,NA,NA,NA,NA,NA,NA,6
42,without_degree,3,1,31,1,1,NA,NA,NA,NA,NA,NA,NA,4
43,without_degree,2,2,35,2,NA,1,0,0,0,0,0,0,6
44,student,2,2,25,2,NA,1,0,0,0,0,0,0,6
45,without_degree,1,1,43,1,1,NA,NA,NA,NA,NA,NA,NA,5
46,without_degree,2,2,28,1,1,NA,NA,NA,NA,NA,NA,NA,5
47,without_degree,2,1,44,1,1,NA,NA,NA,NA,NA,NA,NA,3
48,without_degree,2,1,35,1,1,NA,NA,NA,NA,NA,NA,NA,3
49,without_degree,2,1,28,1,1,NA,NA,NA,NA,NA,NA,NA,5
50,student,2,1,21,1,1,NA,NA,NA,NA,NA,NA,NA,7
51,student,2,1,20,2,NA,1,0,0,1,0,0,0,7
52,without_degree,4,1,23,1,1,NA,NA,NA,NA,NA,NA,NA,7
53,without_degree,1,1,31,1,1,NA,NA,NA,NA,NA,NA,NA,5
54,student,1,1,18,2,NA,0,1,0,0,0,0,0,4
55,without_degree,2,1,48,1,1,NA,NA,NA,NA,NA,NA,NA,5
56,student,3,2,29,2,NA,1,0,0,0,0,0,0,7
57,student,2,1,20,1,1,NA,NA,NA,NA,NA,NA,NA,7
58,without_degree,2,2,26,2,NA,1,0,0,0,0,0,0,3
59,without_degree,1,1,26,1,1,NA,NA,NA,NA,NA,NA,NA,5
60,student,2,1,46,2,NA,1,0,0,0,0,0,0,7
61,without_degree,2,2,22,2,NA,1,0,0,0,0,0,0,7
62,student,2,1,43,2,NA,0,0,1,0,0,0,0,1
63,student,2,1,31,1,1,NA,NA,NA,NA,NA,NA,NA,4
64,without_degree,2,1,41,1,1,NA,NA,NA,NA,NA,NA,NA,6
65,without_degree,1,1,20,1,1,NA,NA,NA,NA,NA,NA,NA,4
66,without_degree,3,1,45,1,1,NA,NA,NA,NA,NA,NA,NA,6
67,student,3,1,19,2,NA,1,1,0,0,0,0,0,6
68,student,3,2,25,1,1,NA,NA,NA,NA,NA,NA,NA,5
69,student,2,1,24,2,NA,1,0,0,0,0,0,0,6
70,without_degree,1,1,50,1,1,NA,NA,NA,NA,NA,NA,NA,5
71,without_degree,2,2,29,2,NA,1,0,0,0,0,0,0,4
72,student,1,2,22,2,NA,1,0,0,0,0,0,0,5
73,without_degree,1,1,52,2,NA,1,0,0,0,0,0,0,5
74,without_degree,2,1,34,1,1,NA,NA,NA,NA,NA,NA,NA,3
75,student,3,2,20,1,1,NA,NA,NA,NA,NA,NA,NA,7
76,without_degree,3,2,30,2,NA,1,0,0,0,0,0,0,3
77,student,1,1,19,1,1,NA,NA,NA,NA,NA,NA,NA,6
78,student,2,2,19,1,1,NA,NA,NA,NA,NA,NA,NA,7
79,without_degree,3,2,24,1,2,NA,NA,NA,NA,NA,NA,NA,3
80,without_degree,2,1,24,1,1,NA,NA,NA,NA,NA,NA,NA,6
81,without_degree,2,1,43,1,1,NA,NA,NA,NA,NA,NA,NA,6
82,without_degree,2,1,33,1,1,NA,NA,NA,NA,NA,NA,NA,6
83,student,2,1,20,1,3,NA,NA,NA,NA,NA,NA,NA,5
84,without_degree,1,1,26,2,NA,0,1,0,0,0,0,0,6
85,without_degree,1,1,30,1,1,NA,NA,NA,NA,NA,NA,NA,7
86,student,3,2,19,1,1,NA,NA,NA,NA,NA,NA,NA,7
87,without_degree,3,2,39,2,NA,1,0,0,0,0,0,0,5
88,student,2,2,21,1,3,NA,NA,NA,NA,NA,NA,NA,5
89,without_degree,2,2,27,2,NA,1,0,0,0,0,0,0,3
90,student,2,1,28,1,3,NA,NA,NA,NA,NA,NA,NA,7
91,without_degree,2,2,44,1,1,NA,NA,NA,NA,NA,NA,NA,4
92,without_degree,3,1,49,1,1,NA,NA,NA,NA,NA,NA,NA,5
93,without_degree,3,1,55,2,NA,1,0,0,0,0,0,0,4
94,without_degree,1,1,33,1,1,NA,NA,NA,NA,NA,NA,NA,4
95,student,2,1,29,1,1,NA,NA,NA,NA,NA,NA,NA,3
96,without_degree,2,2,56,2,NA,1,0,0,0,0,0,0,5
97,student,2,2,20,1,1,NA,NA,NA,NA,NA,NA,NA,6
98,without_degree,1,2,62,1,1,NA,NA,NA,NA,NA,NA,NA,4
99,without_degree,3,1,62,2,NA,1,0,0,0,0,0,0,4
100,student,2,1,36,2,NA,1,0,0,0,0,0,0,6
101,student,3,1,19,1,1,NA,NA,NA,NA,NA,NA,NA,5
102,student,2,2,19,2,NA,1,1,0,0,0,0,0,5
103,without_degree,2,1,47,1,1,NA,NA,NA,NA,NA,NA,NA,6
104,without_degree,2,1,53,1,1,NA,NA,NA,NA,NA,NA,NA,7
105,without_degree,2,2,24,2,NA,0,1,0,0,0,0,0,4
106,without_degree,2,1,45,2,NA,1,0,0,0,0,0,0,5
107,without_degree,2,2,47,2,NA,1,0,0,0,0,0,0,6
108,without_degree,2,2,47,2,NA,1,0,0,0,0,0,0,6
109,student,3,1,30,1,4,NA,NA,NA,NA,NA,NA,NA,4
110,without_degree,2,1,23,1,1,NA,NA,NA,NA,NA,NA,NA,5
111,without_degree,2,1,20,2,NA,0,0,1,0,0,0,0,4
112,student,3,1,24,1,3,NA,NA,NA,NA,NA,NA,NA,5
113,without_degree,2,1,34,1,1,NA,NA,NA,NA,NA,NA,NA,5
114,student,3,2,30,2,NA,0,1,0,0,0,0,0,10
115,student,2,2,18,2,NA,1,0,0,0,0,0,0,4
116,without_degree,2,1,58,1,1,NA,NA,NA,NA,NA,NA,NA,3
117,without_degree,2,1,28,2,NA,1,0,0,0,0,0,0,4
118,student,3,2,39,1,1,NA,NA,NA,NA,NA,NA,NA,5
119,student,1,1,48,1,1,NA,NA,NA,NA,NA,NA,NA,3
120,student,1,1,23,2,NA,0,1,0,0,0,0,0,5
121,student,1,2,23,1,3,NA,NA,NA,NA,NA,NA,NA,6
122,without_degree,3,1,26,2,NA,1,0,0,0,0,0,0,3
123,without_degree,1,2,37,1,1,NA,NA,NA,NA,NA,NA,NA,4
124,without_degree,3,1,20,1,1,NA,NA,NA,NA,NA,NA,NA,2
125,without_degree,1,1,27,2,NA,1,0,0,0,0,0,0,6
126,without_degree,2,2,24,1,1,NA,NA,NA,NA,NA,NA,NA,6
127,without_degree,2,2,29,1,1,NA,NA,NA,NA,NA,NA,NA,6
128,without_degree,2,1,64,1,1,NA,NA,NA,NA,NA,NA,NA,7
129,student,1,2,19,1,1,NA,NA,NA,NA,NA,NA,NA,8
130,without_degree,2,1,41,2,NA,1,0,0,0,0,0,0,3
131,without_degree,2,1,36,1,1,NA,NA,NA,NA,NA,NA,NA,4
132,without_degree,3,2,30,2,NA,0,1,0,0,0,0,0,8
133,without_degree,1,1,37,1,4,NA,NA,NA,NA,NA,NA,NA,5
134,without_degree,2,1,24,2,NA,1,0,0,0,0,0,0,8
135,without_degree,1,1,68,1,1,NA,NA,NA,NA,NA,NA,NA,6
136,without_degree,1,1,53,2,NA,1,0,0,0,0,0,0,4
137,without_degree,4,1,32,2,NA,1,0,0,0,0,0,0,6
138,without_degree,2,1,54,2,NA,1,0,0,0,0,0,0,6
139,without_degree,1,2,28,2,NA,1,0,0,0,0,0,0,2
140,without_degree,2,1,33,2,NA,1,0,0,0,0,0,0,7
141,without_degree,1,1,43,1,1,NA,NA,NA,NA,NA,NA,NA,6
142,student,2,1,19,2,NA,1,1,0,0,0,0,0,8
143,student,2,4,19,1,1,NA,NA,NA,NA,NA,NA,NA,7
